agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,20,0,,,2,3,3,1,3,False,False
2,0,0,0,10,0,,,1,3,1,2,1,False,False
3,0,0,0,20,0,,,2,3,2,3,1,False,False
4,0,0,0,20,0,,,2,1,1,1,1,False,False
5,0,0,0,30,0,,,3,1,1,1,3,False,False
6,0,0,0,10,0,,,1,2,1,3,3,False,False
7,1,0,0,30,0,,,3,2,1,1,2,True,False
8,0,0,0,20,0,,,2,2,2,3,1,True,False
9,2,0,0,20,0,,,2,2,1,2,1,True,False
10,0,0,0,30,0,,,3,2,2,1,2,True,False
72,1,0,0,2,0,7,9,1,1,1,0,0,True,False
73,0,0,0,0,0,9,72,0,0,1,0,0,False,True
