agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,1,0,0,12,0,,,1,2,2,2,2,True,False
2,2,0,0,11,0,,,1,2,2,3,1,True,False
3,1,0,0,20,0,,,2,1,2,3,3,False,False
4,3,0,0,20,0,,,2,3,1,3,2,False,False
5,2,0,0,10,0,,,1,1,1,1,3,False,False
6,1,0,0,26,1,,,3,1,2,3,3,True,False
7,2,0,0,20,0,,,2,2,3,3,1,False,False
8,2,0,0,33,0,,,3,2,3,2,1,True,False
9,2,0,0,31,3,,,2,3,2,2,1,True,False
10,3,0,0,37,0,,,3,3,1,2,3,True,False
43,0,0,0,0,1,5,10,0,1,1,0,1,True,False
44,1,0,0,0,0,1,3,0,0,2,1,1,True,False
45,2,0,0,7,0,2,10,1,1,1,1,0,True,False
46,1,0,0,0,3,4,45,0,1,1,0,0,True,False
47,2,0,0,0,0,6,2,0,0,2,1,1,False,True
48,0,0,0,4,0,8,7,1,1,3,1,0,True,False
49,0,0,0,5,1,10,4,1,1,1,1,1,True,False
50,2,0,0,3,0,7,8,1,1,3,1,0,True,False
51,0,0,0,0,0,45,50,0,0,1,0,0,True,False
52,1,0,0,0,0,44,5,0,0,2,0,0,False,True
53,0,0,0,0,0,47,9,0,0,2,0,0,True,False
54,0,0,0,0,1,4,50,0,0,3,0,0,True,False
55,0,0,0,0,0,46,52,0,0,1,0,0,False,True
56,0,0,0,0,0,47,9,0,1,2,0,0,True,False
