agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,5,1,,,1,1,1,2,3,True,False
2,0,0,0,5,0,,,1,2,2,2,3,False,True
3,0,0,0,12,0,,,2,3,1,3,1,True,False
4,0,0,0,15,0,,,3,3,3,1,2,True,False
5,0,0,0,10,2,,,2,3,2,2,3,True,False
6,1,0,0,12,0,,,2,1,3,3,2,True,False
7,0,0,0,21,0,,,3,3,2,2,3,False,True
8,0,0,0,8,2,,,1,3,3,2,3,True,False
9,0,0,0,8,0,,,1,2,3,3,2,False,True
10,0,0,1,5,0,,,1,1,1,2,3,False,True
11,0,0,0,10,0,,,2,2,2,2,1,False,True
12,1,0,0,6,0,,,1,2,2,3,3,True,False
13,0,0,0,10,0,,,2,1,1,3,2,True,False
14,0,0,0,21,0,,,3,2,2,1,1,False,True
15,0,0,0,21,0,,,3,2,2,3,1,False,True
16,0,0,0,15,0,,,3,1,2,3,1,True,False
17,0,0,0,14,0,,,2,1,1,1,3,False,True
18,0,0,0,15,4,,,3,1,3,3,1,True,False
19,1,0,0,15,0,,,3,1,2,3,1,False,True
20,1,0,0,12,0,,,2,1,3,3,3,False,True
21,0,0,0,5,0,,,1,1,2,3,1,True,False
22,0,0,0,6,0,,,1,1,2,3,1,False,True
23,0,0,0,18,0,,,2,3,3,2,3,True,False
24,0,0,0,5,2,,,1,3,2,1,2,True,False
25,1,0,0,18,1,,,3,3,3,3,1,True,False
26,0,0,0,24,0,,,3,3,2,3,3,False,True
27,0,0,0,10,0,,,2,1,2,3,2,False,True
28,0,0,0,10,0,,,2,1,3,3,1,False,True
29,1,0,0,5,0,,,1,1,3,3,3,False,True
30,0,0,0,18,0,,,3,1,3,2,2,True,False
31,0,0,0,21,0,,,3,2,1,3,1,False,True
32,0,0,0,18,0,,,3,3,1,1,3,False,True
33,0,0,0,6,0,,,1,1,3,2,1,False,True
34,0,0,0,15,2,,,3,2,1,3,1,True,False
35,0,0,0,15,0,,,3,2,2,2,3,False,True
36,0,0,0,21,0,,,3,3,3,2,1,True,False
37,0,0,0,18,0,,,3,2,1,3,3,False,True
38,0,0,0,5,0,,,1,1,1,3,1,True,False
39,1,0,0,5,5,,,1,2,1,1,3,True,False
40,0,0,0,15,0,,,3,2,3,3,1,True,False
41,0,0,0,15,0,,,3,1,3,2,1,True,False
42,0,0,0,14,0,,,2,1,3,3,1,False,True
43,0,0,0,9,0,,,1,3,3,3,3,False,True
44,0,0,0,15,0,,,3,1,1,3,1,False,True
45,0,0,0,9,0,,,1,3,1,3,1,False,True
46,0,0,0,10,0,,,2,3,3,2,3,True,False
47,0,0,0,5,0,,,1,3,2,2,1,True,False
48,1,0,0,14,0,,,2,3,3,1,3,False,True
49,0,0,0,5,2,,,1,3,1,2,3,True,False
50,0,0,0,15,0,,,3,3,3,3,2,True,False
51,0,0,0,0,0,29,19,0,0,2,1,1,False,True
52,0,0,0,0,0,39,20,0,0,1,0,1,True,False
53,0,0,0,1,0,25,48,1,1,3,0,0,True,False
54,0,0,0,0,0,6,12,0,0,3,1,1,True,False
