agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,1,0,0,20,0,,,2,1,3,3,2,False,False
2,0,0,0,10,2,,,1,1,2,1,2,True,False
3,2,0,0,30,1,,,3,1,1,2,3,True,False
4,0,0,0,30,1,,,3,3,2,3,3,True,False
5,2,0,0,10,0,,,1,2,1,1,1,False,False
6,2,0,0,30,0,,,3,3,3,2,3,False,False
7,2,0,0,10,0,,,1,1,1,2,3,False,False
8,2,0,0,20,0,,,2,2,2,1,2,False,False
9,2,0,0,30,0,,,3,3,2,2,1,False,False
10,2,0,0,10,0,,,1,2,3,3,3,False,False
15,2,0,0,6,1,9,10,1,1,2,1,0,True,False
16,1,0,0,0,0,3,10,0,0,1,1,1,False,True
17,1,0,0,5,4,8,6,1,1,3,0,1,True,False
18,1,0,0,0,0,1,5,0,0,1,1,0,True,False
19,0,0,0,4,2,8,6,1,1,2,0,1,True,False
20,0,0,0,0,0,7,15,0,0,2,0,1,True,False
21,0,0,0,0,0,16,17,0,0,3,0,0,True,False
22,2,0,0,0,0,7,15,0,0,2,0,1,False,True
23,1,0,0,0,0,3,22,0,0,1,0,0,False,True
24,1,0,0,0,0,5,23,0,0,1,0,0,True,False
25,0,0,0,0,0,9,22,0,1,2,0,0,False,True
26,0,0,0,0,0,18,24,0,0,1,0,0,True,False
