agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,2,0,0,20,3,,,2,2,2,2,2,True,False
2,1,0,0,10,0,,,1,3,3,1,2,False,False
3,1,0,0,26,3,,,3,3,2,2,2,True,False
4,2,0,0,12,5,,,1,1,1,3,1,True,False
5,1,0,0,28,2,,,3,2,3,2,3,True,False
6,1,0,0,10,10,,,1,1,3,1,3,True,False
7,1,0,0,11,3,,,1,1,2,2,3,True,False
8,5,0,0,10,3,,,1,2,3,3,3,True,False
9,1,0,0,13,6,,,1,3,3,2,2,True,False
10,0,0,0,10,2,,,1,1,1,3,2,True,False
20,0,0,0,0,0,1,7,0,0,2,1,1,False,True
21,2,0,0,11,7,8,5,1,1,3,1,1,True,False
22,4,0,0,0,3,9,8,0,1,3,1,1,True,False
23,3,0,0,0,4,8,22,0,0,3,0,1,True,False
24,1,0,0,0,4,22,8,0,0,3,1,1,True,False
25,0,0,0,0,2,4,23,0,0,3,1,0,True,False
26,0,0,0,0,3,6,21,0,0,3,0,0,True,False
27,0,0,0,0,0,8,22,0,0,3,1,0,False,True
28,1,0,0,0,1,22,1,0,0,3,0,0,True,False
29,0,0,0,0,0,23,4,0,0,3,0,0,False,True
30,0,0,0,0,2,24,21,0,0,3,0,0,True,False
31,0,0,0,0,0,2,28,0,0,3,0,0,False,True
32,0,0,0,0,0,23,3,0,1,3,0,0,False,True
