agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,1,0,0,10,0,,,1,2,3,1,3,True,False
2,2,0,0,10,0,,,1,3,1,1,2,False,False
3,3,0,0,10,4,,,1,1,3,3,2,True,False
4,0,0,0,20,0,,,2,3,3,3,2,False,False
5,0,0,0,30,0,,,3,3,3,3,2,False,False
6,1,0,0,10,0,,,1,2,3,2,2,False,False
7,1,0,0,20,8,,,2,1,2,1,3,True,False
8,0,0,0,30,0,,,3,1,2,3,1,False,False
9,0,0,0,30,0,,,3,1,1,2,2,True,False
10,1,0,0,10,4,,,1,3,1,2,1,True,False
11,1,0,0,0,0,1,3,0,0,3,0,1,False,True
12,0,0,0,0,0,2,11,0,1,1,0,0,False,True
13,1,0,0,0,5,10,3,0,1,3,1,0,True,False
14,0,0,0,0,2,3,13,0,0,3,0,0,True,False
15,1,0,0,0,0,6,2,0,1,1,0,1,False,True
16,0,0,0,0,0,15,7,0,0,1,0,1,True,False
