agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,10,0,,,1,1,2,2,2,False,False
2,0,0,0,10,0,,,1,2,3,1,3,True,False
3,0,0,0,20,0,,,2,1,2,2,1,True,False
4,2,0,0,20,0,,,2,2,1,2,3,False,False
5,0,0,0,10,0,,,1,2,2,1,1,False,False
6,1,0,0,30,0,,,3,2,3,3,1,False,False
7,0,0,0,20,1,,,2,1,2,3,1,True,False
8,0,0,0,30,1,,,3,1,1,1,3,True,False
9,1,0,0,20,0,,,2,3,1,1,1,False,False
10,4,0,0,30,0,,,3,3,1,1,1,False,False
11,0,0,0,8,1,10,4,1,1,1,0,1,True,False
12,0,0,0,7,0,10,4,1,1,1,0,1,True,False
13,0,0,0,1,0,10,9,1,1,1,0,0,False,True
14,0,0,0,0,0,6,10,1,1,3,0,0,False,True
