agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,1,0,0,10,0,,,1,1,3,1,2,True,False
2,1,0,0,30,0,,,3,3,2,1,1,True,False
3,0,0,0,30,1,,,3,3,3,2,2,True,False
4,0,0,0,10,3,,,1,1,2,1,2,True,False
5,0,0,0,30,3,,,3,2,3,1,3,True,False
6,1,0,0,10,0,,,1,3,2,1,1,False,False
7,0,0,0,20,0,,,2,3,3,2,2,False,False
8,1,0,0,30,0,,,3,1,1,2,2,False,False
9,0,0,0,20,1,,,2,2,3,1,1,True,False
10,1,0,0,10,3,,,1,2,2,1,2,True,False
33,0,0,0,7,0,8,6,1,1,2,0,0,True,False
34,1,0,0,2,0,1,2,1,1,3,0,0,False,True
35,0,0,0,0,0,10,34,0,0,2,0,0,True,False
