agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,1,0,0,25,1,,,3,3,1,1,2,True,False
2,0,0,0,21,0,,,2,1,1,3,1,True,False
3,0,0,0,29,1,,,3,3,1,3,1,True,False
4,0,0,0,19,0,,,2,1,3,1,1,True,False
5,1,0,0,25,1,,,2,2,1,3,3,True,False
6,2,0,0,10,0,,,1,3,1,2,2,False,False
7,2,0,0,20,1,,,2,2,3,3,3,True,False
8,2,0,0,20,2,,,2,1,1,3,3,True,False
9,0,0,0,21,3,,,2,3,3,1,2,True,False
10,0,0,0,20,0,,,2,3,3,2,3,False,False
11,2,0,0,7,0,1,5,1,1,1,0,1,False,True
12,0,0,0,6,0,8,7,1,0,3,1,1,False,True
13,0,0,0,0,0,11,6,0,1,1,0,0,True,False
14,0,0,0,0,0,6,11,0,0,1,0,0,False,True
15,0,0,0,1,0,8,7,1,0,1,1,1,True,False
