agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,12,3,,,1,3,3,2,2,True,False
2,0,0,0,20,2,,,2,2,3,1,2,True,False
3,0,0,0,22,2,,,2,3,2,1,3,True,False
4,0,0,0,20,6,,,2,3,2,1,2,True,False
5,1,0,0,20,0,,,2,1,1,3,2,False,True
6,0,0,0,10,1,,,1,2,2,2,1,True,False
7,0,0,0,10,0,,,1,2,1,3,1,True,False
8,0,0,0,32,0,,,3,1,3,1,2,False,True
9,0,0,0,13,4,,,1,3,2,3,1,True,False
10,0,0,0,30,0,,,3,2,3,1,3,True,False
11,1,0,0,10,0,,,1,1,2,3,1,True,False
12,0,0,0,20,0,,,2,1,2,2,2,False,True
13,0,0,0,22,0,,,2,1,2,2,1,True,False
14,0,0,0,22,5,,,2,2,3,1,1,True,False
15,0,0,0,30,0,,,3,2,2,2,3,False,True
16,0,0,0,30,0,,,2,2,1,1,2,False,True
17,0,0,0,8,3,,,1,3,3,2,3,True,False
18,0,0,0,33,1,,,3,2,3,1,3,True,False
19,2,0,0,38,0,,,2,3,1,2,1,False,True
20,0,0,0,33,0,,,3,1,3,3,1,False,True
21,0,0,0,39,0,,,3,2,3,1,3,False,True
22,0,0,0,24,0,,,2,1,3,1,3,False,True
23,0,0,0,35,0,,,3,3,1,2,2,False,True
24,1,0,0,42,1,,,3,3,2,3,1,True,False
25,0,0,0,22,6,,,2,2,1,3,1,True,False
26,0,0,0,33,2,,,3,3,3,3,2,True,False
27,0,0,1,13,0,,,1,2,1,1,2,False,True
28,0,0,0,42,0,,,3,2,3,3,3,True,False
29,0,0,0,20,0,,,2,2,3,2,1,True,False
30,1,0,0,20,0,,,2,1,3,3,2,True,False
31,0,0,0,24,1,,,2,2,2,2,1,True,False
32,1,0,0,36,0,,,3,2,2,3,1,False,True
33,0,0,0,33,0,,,2,3,2,2,2,False,True
34,0,0,0,54,0,,,3,2,3,2,2,False,True
35,2,0,0,19,0,,,1,2,1,2,1,False,True
36,0,0,0,11,0,,,1,1,3,2,3,False,True
37,0,0,0,30,0,,,3,1,1,1,2,True,False
38,0,0,0,20,0,,,2,1,1,1,1,False,True
39,0,0,0,34,0,,,2,3,3,1,2,False,True
40,0,0,0,51,0,,,3,3,1,3,2,False,True
41,0,0,0,24,0,,,2,1,2,2,1,False,True
42,0,0,1,10,0,,,1,3,3,2,1,False,True
43,0,0,0,20,0,,,2,2,1,1,2,True,False
44,0,0,0,30,0,,,3,2,3,1,1,False,True
45,0,0,0,10,8,,,1,1,1,1,2,True,False
46,1,0,0,11,6,,,1,3,1,1,1,True,False
47,0,0,0,22,0,,,2,3,2,1,2,True,False
48,1,0,0,17,0,,,1,2,3,3,1,False,True
49,0,0,0,52,0,,,3,3,3,3,3,False,True
50,1,0,0,26,0,,,2,2,2,3,3,False,True
61,1,0,1,0,0,11,30,0,0,3,1,0,False,True
62,0,0,0,0,0,19,35,0,1,1,1,0,False,True
63,0,0,0,0,0,35,19,0,1,1,1,0,False,True
64,1,0,0,0,3,5,46,0,1,1,0,0,True,False
65,0,0,0,0,0,64,61,0,0,3,0,0,False,True
66,0,0,0,0,1,24,48,0,1,2,1,0,True,False
67,0,0,0,0,0,32,50,1,1,2,1,0,False,True
