agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,1,0,0,10,0,,,1,2,2,1,3,True,False
2,1,0,0,10,0,,,1,1,1,3,3,False,False
3,0,0,0,10,0,,,1,3,2,3,3,False,False
4,1,0,0,20,0,,,2,1,3,2,2,False,False
5,0,0,0,10,0,,,1,2,2,3,1,False,False
6,1,0,0,20,0,,,2,3,1,3,2,False,False
7,0,0,0,10,0,,,1,3,1,1,1,False,False
8,1,0,0,20,5,,,2,2,3,2,2,True,False
9,2,0,0,30,0,,,3,3,1,3,3,False,False
10,0,0,0,20,3,,,2,3,2,2,3,True,False
11,1,0,0,7,0,8,9,1,1,1,1,1,False,True
12,0,0,0,5,0,9,11,1,0,1,1,0,False,True
13,0,0,0,0,0,1,2,0,0,2,1,1,False,True
14,0,0,0,2,2,6,4,1,0,3,1,1,True,False
