agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,1,0,0,10,4,,,1,3,3,1,2,True,False
2,1,0,0,10,0,,,1,2,1,1,3,False,False
3,1,0,0,30,5,,,3,2,3,1,1,True,False
4,0,0,0,30,1,,,3,3,2,1,2,True,False
5,4,0,0,30,3,,,3,3,3,2,3,True,False
6,2,0,0,30,5,,,3,3,3,2,1,True,False
7,0,0,0,20,0,,,2,2,1,2,3,False,False
8,1,0,0,30,3,,,3,1,1,2,1,True,False
9,3,0,0,10,0,,,1,1,3,1,3,False,False
10,0,0,0,10,0,,,1,3,1,2,1,False,False
36,0,0,0,8,1,5,9,1,1,3,0,1,True,False
37,2,0,0,7,0,5,9,1,0,3,0,1,False,True
38,1,0,0,7,0,8,6,1,1,3,1,0,False,True
39,1,0,0,0,5,1,9,0,0,3,0,1,True,False
40,1,0,0,3,0,3,6,1,1,3,0,0,False,True
41,1,0,0,0,3,38,2,0,0,1,0,0,True,False
42,1,0,0,2,0,37,5,1,0,3,0,1,False,True
43,0,0,0,0,0,37,41,0,0,1,0,0,False,True
44,0,0,0,0,0,40,39,0,0,3,0,0,False,True
45,0,0,0,0,0,42,5,0,0,3,0,1,False,True
