agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,10,0,,,1,3,2,2,2,False,False
3,0,0,0,10,0,,,1,2,3,3,2,False,False
4,4,0,0,30,0,,,3,3,3,2,1,False,False
5,4,0,0,30,0,,,3,2,3,1,3,False,False
6,3,0,0,10,9,,,1,1,3,1,2,True,False
7,1,0,0,30,0,,,3,3,2,2,2,True,False
8,1,0,0,10,9,,,1,2,2,3,2,True,False
9,0,0,0,30,9,,,3,3,1,2,1,True,False
10,0,0,0,30,3,,,3,1,3,2,3,True,False
19,2,0,0,8,0,2,8,1,0,3,0,1,False,True
20,4,0,0,0,0,2,19,0,0,3,0,1,False,True
21,0,0,0,7,6,7,4,1,1,2,1,0,True,False
22,0,0,0,0,0,2,20,0,0,3,0,0,False,True
23,0,0,0,0,0,6,5,0,0,3,0,1,False,True
24,0,0,0,0,0,5,20,0,0,3,0,1,False,True
25,0,0,0,0,0,20,2,0,0,3,0,0,False,True
26,0,0,0,2,1,2,20,1,0,3,0,1,True,False
27,2,0,0,1,0,4,5,1,1,3,0,0,False,True
28,0,0,0,1,0,5,4,1,1,3,0,0,False,True
29,0,0,0,0,0,6,27,0,0,3,0,0,True,False
30,0,0,0,0,0,19,4,1,1,3,0,0,True,False
31,0,0,0,0,0,27,6,0,0,3,0,0,True,False
