agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,20,0,,,2,3,1,3,1,True,False
2,0,0,0,30,0,,,3,3,1,2,1,False,False
3,0,0,0,30,0,,,3,1,1,2,1,True,False
4,0,0,0,20,0,,,2,1,1,1,1,True,False
5,1,0,0,20,0,,,2,3,2,1,1,True,False
6,0,0,0,20,0,,,2,3,1,1,1,False,False
7,0,0,0,20,1,,,2,3,2,2,3,True,False
8,0,0,0,20,1,,,2,3,3,3,1,True,False
9,1,0,0,10,0,,,1,2,1,2,1,True,False
10,0,0,0,30,0,,,3,2,1,2,2,True,False
50,0,0,0,0,0,5,9,0,1,2,0,0,False,True
