agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,30,0,,,3,3,1,3,2,False,False
2,3,0,0,30,1,,,3,3,3,3,1,True,False
3,2,0,0,30,0,,,3,1,1,3,2,True,False
4,4,0,0,20,0,,,2,3,1,3,2,True,False
5,3,0,0,30,0,,,3,1,2,1,3,False,False
6,0,0,0,10,0,,,1,1,3,3,2,False,False
7,0,0,0,20,1,,,2,3,3,1,1,True,False
8,1,0,0,30,0,,,3,1,1,1,2,False,False
9,0,0,0,20,0,,,2,2,2,2,3,False,False
10,2,0,0,10,0,,,1,2,3,3,3,False,False
62,0,0,0,8,0,2,10,1,1,3,1,1,True,False
63,0,0,0,6,0,4,5,1,1,2,1,1,True,False
64,3,0,0,5,1,8,4,1,0,1,0,1,True,False
65,1,0,0,0,2,4,64,0,1,1,0,0,True,False
66,1,0,0,0,0,4,64,0,0,1,0,0,True,False
67,0,0,0,2,0,5,3,1,0,2,0,1,False,True
68,0,0,0,0,1,10,2,0,1,3,1,1,True,False
69,0,0,0,0,0,64,3,0,0,1,0,0,False,True
70,0,0,0,0,0,65,2,0,0,3,0,0,False,True
71,0,0,0,0,0,66,5,0,0,2,0,0,True,False
