agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,7,1,0,155,0,,,3,3,1,3,3,False,True
2,0,3,0,67,0,,,1,3,3,1,1,True,False
4,2,2,0,92,8,,,2,1,2,2,1,True,False
7,0,3,0,67,6,,,1,1,2,3,3,True,False
8,2,0,0,161,27,,,3,1,1,1,3,True,False
10,11,1,0,59,32,,,1,3,2,3,2,True,False
11,0,4,0,36,0,1,6,1,1,1,1,1,False,True
12,5,0,0,41,16,6,1,1,1,1,1,1,True,False
13,0,0,0,45,0,5,12,1,0,1,0,1,False,True
14,4,0,0,42,0,10,5,1,1,2,1,1,False,True
15,0,0,0,0,0,3,10,0,1,2,1,1,False,True
16,0,1,0,0,1,3,10,0,1,2,1,1,True,False
17,0,0,0,0,2,10,3,0,1,2,1,1,True,False
18,0,1,0,29,0,9,3,1,1,2,1,1,False,True
19,0,2,0,35,0,3,5,1,1,2,1,1,True,False
20,0,0,0,0,0,3,10,0,1,2,1,1,False,True
21,0,0,0,0,5,9,10,0,1,2,1,1,True,False
22,0,0,0,29,0,8,1,1,0,1,1,1,False,True
23,0,0,0,0,0,3,10,0,1,2,1,1,False,True
24,0,1,0,24,0,6,5,1,0,1,1,1,True,False
25,0,2,0,0,0,10,6,0,0,1,1,1,False,True
26,0,1,0,0,1,12,14,0,0,2,0,0,True,False
27,0,2,0,4,0,9,3,1,1,2,1,1,False,True
28,0,1,0,20,0,9,3,1,1,2,1,1,False,True
29,0,3,0,13,0,9,3,1,1,2,1,1,True,False
30,0,1,0,16,0,9,3,1,1,2,1,1,False,True
31,0,2,0,0,0,3,14,0,0,2,0,1,True,False
32,0,1,0,0,0,3,14,0,0,2,0,1,False,True
33,0,0,0,0,0,1,12,0,0,1,1,0,True,False
34,0,0,0,0,0,4,10,0,0,2,1,0,True,False
35,0,0,0,0,0,1,12,0,0,1,1,1,False,True
36,0,0,0,0,0,12,10,0,0,1,0,0,False,True
37,0,0,0,0,0,1,8,1,0,1,1,1,True,False
38,0,0,0,0,0,10,4,0,0,2,1,0,True,False
39,0,0,0,0,0,14,1,0,1,2,0,1,False,True
