agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,30,0,,,3,2,2,1,3,False,True
2,2,0,0,10,0,,,1,3,3,1,1,False,True
3,2,0,0,30,10,,,3,2,3,1,1,True,True
4,0,0,0,20,0,,,2,2,3,1,1,False,True
5,2,0,0,30,0,,,3,2,2,2,1,False,True
6,2,0,0,20,0,,,2,2,2,1,1,False,True
7,0,0,0,10,0,,,1,3,2,2,2,False,True
8,0,0,0,20,5,,,2,2,1,2,2,True,True
9,0,0,0,10,10,,,1,1,1,1,1,True,True
10,0,0,0,30,10,,,3,1,1,1,2,True,True
11,1,0,0,6,0,2,3,1,1,3,0,0,False,True
12,1,0,0,0,5,2,3,0,1,3,0,0,True,False
13,0,0,0,3,3,5,6,1,1,2,0,0,True,False
14,0,0,0,1,0,5,6,1,1,2,0,0,False,True
15,0,0,0,0,0,12,11,0,0,3,0,0,False,True
