agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,2,0,0,0,20,,,1,2,3,3,1,True,False
2,2,0,0,0,20,,,2,1,1,3,2,True,False
3,0,0,0,0,20,,,2,1,2,1,3,True,False
5,0,0,0,0,20,,,3,3,3,1,3,False,True
6,0,0,0,0,18,,,2,1,3,1,3,True,False
7,0,0,0,0,11,,,1,1,3,3,3,True,False
8,1,0,0,0,13,,,3,2,2,3,3,True,False
9,0,0,0,0,20,,,1,3,3,3,3,True,False
11,2,0,0,0,20,,,2,3,3,2,1,False,True
12,1,0,0,0,15,,,1,1,3,3,2,True,False
13,1,0,0,0,14,,,3,3,1,2,2,True,False
14,0,0,0,0,20,,,2,1,2,2,2,False,True
15,2,0,0,0,20,,,2,2,1,2,1,False,True
16,0,0,0,0,20,,,1,3,3,3,1,False,True
17,0,0,0,0,20,,,2,3,1,1,2,True,False
18,2,0,0,0,20,,,1,3,1,1,3,False,True
19,0,0,0,0,20,,,3,3,2,2,2,True,False
20,0,0,0,0,20,,,1,3,2,1,1,False,True
21,2,0,0,0,16,4,8,1,1,2,1,1,True,False
22,2,0,0,0,19,11,15,1,1,1,1,0,False,True
23,0,0,0,0,19,18,22,0,0,1,0,0,True,False
24,1,0,0,0,18,22,18,0,0,1,0,0,True,False
25,0,0,0,0,15,10,13,1,1,1,1,0,False,True
26,0,0,0,0,16,21,2,0,0,2,1,0,False,True
27,0,0,0,0,12,15,11,1,1,3,1,0,False,True
28,0,0,0,0,7,2,21,0,0,1,0,0,False,True
29,2,0,0,0,7,24,12,0,0,1,1,0,True,False
30,0,0,0,0,6,29,1,0,0,1,1,0,False,True
31,0,0,0,0,1,1,29,0,0,1,0,0,True,False
