Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,1,3,3,3,False,True,2,1,0,0,,,"(6, 1)",0
2,1,3,1,3,True,False,2,0,0,0,,,"(2, 8)",0
3,2,3,3,1,True,False,2,0,0,0,,,"(6, 0)",0
4,2,3,1,2,True,False,2,0,0,0,,,"(8, 9)",0
5,2,2,3,1,True,False,2,0,0,0,,,"(6, 4)",0
6,2,2,3,3,False,True,2,0,0,0,,,"(5, 7)",0
7,1,3,2,1,True,False,2,0,0,0,,,"(9, 9)",0
8,3,2,2,3,False,True,2,1,0,0,,,"(9, 2)",0
9,2,2,2,2,False,True,2,0,0,0,,,"(3, 0)",0
10,1,2,3,3,False,True,2,0,0,0,,,"(9, 7)",0
11,3,1,1,1,False,True,1,0,0,0,8,1,"(2, 0)",0
