agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Kondition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,5,0,0,40,0,,,1,1,2,1,1,False,True
2,4,0,0,40,0,,,2,3,3,2,2,False,True
3,7,0,0,40,0,,,3,1,3,3,3,True,False
4,3,0,0,40,0,,,2,3,1,2,3,False,True
5,3,0,0,40,0,,,2,2,3,2,1,False,True
6,3,0,0,40,0,,,2,1,3,3,2,True,False
7,2,0,0,40,0,,,1,1,3,2,2,True,False
8,2,0,0,40,0,,,2,2,1,2,1,False,True
9,6,0,0,40,0,,,1,3,3,2,2,False,True
10,3,0,0,40,0,,,1,1,1,1,2,False,True
11,4,0,0,35,0,8,3,1,0,3,1,1,True,False
12,5,0,0,33,0,5,11,0,0,3,0,0,False,True
13,2,0,0,32,0,9,3,0,1,3,1,1,True,False
14,2,0,0,32,0,10,3,1,0,1,0,1,False,True
15,1,0,0,30,0,2,9,0,1,3,1,1,False,True
16,2,0,0,28,0,3,12,0,0,3,1,0,False,True
17,3,0,0,28,0,6,3,1,0,3,1,1,False,True
18,3,0,0,28,0,12,3,0,0,3,0,0,False,True
19,1,0,0,28,0,15,2,0,1,3,0,0,True,False
20,2,0,0,23,0,17,13,0,0,3,0,0,True,False
21,2,0,0,22,0,13,17,0,0,3,0,0,False,True
1,4,0,0,20,0,,,3,3,3,1,1,True,False
2,6,0,0,20,0,,,1,3,2,1,2,True,False
3,2,0,0,20,0,,,1,3,1,1,1,False,True
4,4,0,0,20,0,,,1,2,3,3,3,False,True
5,1,0,0,20,0,,,3,3,2,1,2,False,True
6,3,0,0,20,0,,,3,1,1,1,1,False,True
7,2,0,0,20,0,,,2,2,2,2,2,True,False
8,1,0,0,20,0,,,3,1,3,3,2,True,False
9,1,0,0,20,0,,,3,1,2,3,2,True,False
10,2,0,0,20,0,,,1,3,2,1,1,False,True
22,1,0,0,19,0,18,1,0,1,3,0,0,True,False
23,2,0,0,18,0,1,2,1,1,3,0,0,True,False
24,3,0,0,18,0,6,19,0,0,3,0,0,True,False
25,2,0,0,18,0,7,2,0,1,2,0,1,False,True
26,1,0,0,18,0,9,2,1,0,2,0,1,False,True
27,3,0,0,17,0,5,1,1,0,2,0,0,True,False
28,3,0,0,17,0,26,21,0,0,3,0,0,True,False
29,1,0,0,16,0,7,3,0,0,3,1,1,False,True
30,2,0,0,16,0,21,10,0,0,1,0,0,True,False
31,1,0,0,16,0,2,4,0,1,2,0,1,False,True
32,0,0,0,16,0,3,28,0,1,1,0,0,True,False
33,0,0,0,15,0,1,18,0,0,3,0,0,True,False
34,2,0,0,15,0,11,12,0,0,3,0,0,True,False
35,1,0,0,15,0,23,24,0,0,3,0,0,True,False
36,1,0,0,15,0,24,23,0,0,3,0,0,True,False
37,1,0,0,14,0,4,34,0,0,3,1,0,False,True
38,2,0,0,14,0,10,1,0,1,2,0,0,True,False
39,1,0,0,14,0,27,7,0,0,2,0,0,True,False
40,2,0,0,14,0,28,2,0,0,3,0,0,False,True
41,1,0,0,14,0,34,4,0,0,3,1,0,True,False
42,0,0,0,13,0,4,7,0,1,3,1,1,True,False
43,0,0,0,13,0,14,30,0,0,1,0,0,False,True
44,1,0,0,13,0,20,38,0,0,2,0,0,True,False
45,2,0,0,13,0,29,3,0,0,3,0,0,True,False
46,1,0,0,13,0,30,14,0,0,1,0,0,True,False
47,1,0,0,13,0,40,6,0,0,3,1,0,False,True
48,0,0,0,13,0,41,9,0,0,3,0,0,True,False
49,0,0,0,12,0,16,11,0,0,3,0,0,True,False
50,1,0,0,12,0,22,1,0,0,2,0,0,False,True
51,2,0,0,12,0,47,40,0,0,3,0,0,False,True
52,1,0,0,11,0,25,6,0,0,2,0,0,False,True
53,1,0,0,11,0,35,5,0,0,3,0,0,True,False
54,0,0,0,11,0,39,27,0,0,2,0,0,True,False
55,0,0,0,11,0,51,10,0,0,1,0,0,False,True
56,1,0,0,10,0,36,25,0,0,2,0,0,False,True
57,1,0,0,10,0,38,20,0,0,3,0,0,True,False
58,1,0,0,10,0,44,27,0,0,2,0,0,False,True
59,1,0,0,10,0,50,1,0,0,2,0,0,False,True
60,1,0,0,9,0,8,9,1,1,3,1,1,True,False
61,1,0,0,9,0,52,28,0,0,2,0,0,False,True
62,0,0,0,9,0,56,8,0,0,2,0,0,True,False
63,1,0,0,9,0,57,12,0,0,3,0,0,True,False
64,1,0,0,8,0,53,6,0,0,3,0,0,False,True
65,1,0,0,8,0,60,12,0,0,3,0,0,True,False
66,1,0,0,8,0,61,24,0,0,3,0,0,True,False
67,1,0,0,8,0,63,17,0,0,3,0,0,True,False
68,0,0,0,7,0,64,16,0,0,3,0,0,True,False
69,2,0,0,7,0,66,9,0,0,3,0,0,False,True
70,1,0,0,6,0,69,1,1,0,3,0,0,False,True
71,1,0,0,5,0,70,69,0,0,3,0,0,False,True
72,0,0,0,4,0,67,11,0,0,3,0,0,False,True
73,2,0,0,4,0,71,1,0,0,3,0,0,True,False
74,1,0,0,3,0,45,73,0,0,3,0,0,False,True
75,0,0,0,3,0,58,2,0,0,2,0,0,False,True
76,1,0,0,3,0,65,4,0,0,3,0,0,False,True
77,1,0,0,3,0,73,45,0,0,3,0,0,False,True
78,0,0,0,2,0,59,2,0,1,2,0,0,True,False
79,0,0,0,2,0,76,51,0,0,3,0,0,True,False
80,1,0,0,2,0,77,10,0,0,3,0,0,False,True
81,1,0,0,1,0,37,4,0,0,3,1,0,False,True
82,0,0,0,1,0,46,6,1,0,1,0,0,False,True
83,0,0,0,1,0,74,4,0,0,3,0,1,False,True
84,1,0,0,1,0,80,18,0,0,3,0,0,False,True
85,0,0,0,0,0,31,5,0,0,2,0,0,False,True
86,0,0,0,0,0,81,9,0,0,3,0,0,True,False
87,0,0,0,0,0,84,2,0,1,2,0,0,False,True
