agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
2,0,0,0,20,0,,,1,2,1,2,2,True,False
4,0,0,0,40,0,,,2,2,1,2,3,True,False
5,0,0,0,20,1,,,1,2,2,1,1,True,False
6,2,0,0,40,12,,,2,1,2,2,3,True,False
8,2,0,0,20,9,,,1,2,3,3,1,True,False
9,0,0,0,20,6,,,1,2,2,1,1,True,False
10,0,3,0,9,0,,,2,2,1,3,1,False,True
11,0,5,2,32,0,,,3,3,2,2,3,False,True
12,0,4,0,14,0,,,1,3,1,3,3,False,True
13,0,3,0,5,0,,,1,1,2,3,1,False,True
14,0,1,1,44,0,,,3,1,3,1,1,False,True
15,2,4,0,21,0,,,3,1,2,3,2,False,True
16,2,2,3,8,0,,,1,1,3,1,1,False,True
17,0,2,3,9,0,,,1,1,2,1,1,False,True
18,0,2,6,33,0,,,2,2,1,1,3,False,True
19,0,2,1,6,0,,,2,1,1,2,1,False,True
20,0,2,3,16,0,,,2,2,3,1,1,False,True
21,0,0,1,0,0,8,16,0,0,3,1,0,False,True
22,0,0,0,0,0,16,8,0,0,3,1,0,False,True
23,0,0,1,0,0,6,15,1,0,2,1,1,False,True
24,0,0,1,0,0,15,6,1,0,2,1,1,False,True
