agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,80,0,,,2,1,2,1,2,False,True
2,4,0,0,90,8,,,3,3,1,3,3,True,False
3,1,0,0,57,3,,,2,1,3,2,3,True,False
4,0,0,0,37,0,,,1,2,3,1,1,True,False
5,0,1,0,85,0,,,3,1,1,3,3,True,False
6,0,0,0,24,0,,,1,3,3,3,3,True,False
7,0,1,0,35,0,,,1,2,1,2,3,False,True
8,3,1,0,53,0,,,3,3,1,3,1,False,True
9,0,1,0,41,2,,,1,3,1,3,2,True,False
10,0,1,0,74,2,,,3,1,2,2,3,True,False
11,0,0,0,20,0,3,2,1,1,1,1,1,False,True
12,0,0,0,1,0,2,8,1,1,1,1,0,True,False
13,0,0,0,2,0,8,2,1,1,1,1,1,False,True
14,0,0,0,0,0,2,8,1,1,1,1,1,True,False
