agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
5,0,16,0,100,12,,,1,1,1,3,2,True,False
12,1,7,0,58,0,6,3,1,1,1,1,1,False,True
13,4,11,0,46,0,6,3,1,1,1,1,1,False,True
15,4,5,0,81,35,3,6,1,1,1,1,1,True,False
17,0,15,0,60,0,6,3,1,1,1,1,1,True,False
18,0,6,0,65,20,6,3,1,1,1,1,1,True,False
19,0,10,0,82,0,6,3,1,1,1,1,1,False,True
20,0,8,0,0,0,11,16,0,0,1,0,0,False,True
21,0,6,0,0,0,16,11,0,0,1,0,0,True,False
22,0,8,0,0,3,11,16,0,0,1,0,0,True,False
23,0,8,0,0,0,11,16,0,0,1,0,0,True,False
24,0,8,0,0,0,16,11,0,0,1,0,0,False,True
25,0,8,0,0,0,16,11,0,0,1,0,0,True,False
26,0,6,0,0,1,11,16,0,0,1,0,0,True,False
27,0,8,0,0,0,11,16,0,0,1,0,0,False,True
28,0,5,0,0,2,11,16,0,0,1,0,0,True,False
29,0,6,0,0,0,16,11,0,0,1,0,0,False,True
30,0,5,0,0,10,11,16,0,0,1,0,0,True,False
31,0,7,0,0,0,11,16,0,0,1,0,0,True,False
32,0,5,0,0,0,12,8,0,0,1,0,0,False,True
33,0,3,0,0,0,15,13,0,0,1,0,0,False,True
34,0,2,0,0,0,13,15,0,0,1,0,0,False,True
35,0,1,0,0,0,15,13,0,0,1,0,0,True,False
36,0,0,0,0,0,13,15,0,0,1,0,0,False,True
