agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,40,0,,,2,1,2,1,1,True,False
2,0,0,0,20,0,,,1,2,1,1,3,True,False
3,0,0,0,20,0,,,1,1,1,2,3,True,False
4,1,0,0,40,11,,,2,2,1,3,2,True,False
5,0,0,0,20,3,,,1,1,1,3,2,True,False
6,0,0,0,20,0,,,1,1,3,3,2,True,False
7,0,0,0,20,0,,,1,2,1,1,1,True,False
8,0,0,0,40,1,,,2,3,2,2,3,True,False
10,2,0,0,19,0,,,1,3,1,1,2,False,True
11,0,3,0,9,0,,,3,1,2,3,1,False,True
12,0,1,2,15,0,,,1,2,3,1,1,False,True
13,1,3,3,27,0,,,2,1,3,1,2,False,True
14,0,2,3,27,0,,,3,1,1,1,1,False,True
15,0,3,0,10,0,,,3,3,2,3,1,False,True
16,0,3,2,10,0,,,1,1,3,2,2,False,True
17,2,3,2,10,0,,,1,1,1,2,2,False,True
18,0,6,0,15,0,,,3,2,1,3,3,False,True
19,0,5,0,11,0,,,2,1,1,3,3,False,True
20,0,4,5,31,0,,,2,1,1,1,2,False,True
21,0,0,1,0,0,17,10,0,0,1,0,1,False,True
22,0,1,1,0,0,17,10,0,0,1,0,1,False,True
23,0,1,1,3,0,4,13,1,0,3,0,1,False,True
