Number,Tribe,Condition,Visibility Range,Reproduction Counter,Consume Counter,Position
1,3,1,1,0,10,"(53, 64)"
2,3,2,3,0,10,"(0, 66)"
3,2,3,1,0,10,"(39, 43)"
4,1,3,3,0,10,"(0, 7)"
5,1,1,3,0,10,"(46, 69)"
6,1,2,1,0,10,"(87, 11)"
7,2,3,2,0,10,"(53, 54)"
8,3,1,3,0,10,"(52, 0)"
9,3,3,2,0,10,"(70, 74)"
10,2,1,2,0,10,"(1, 86)"
