Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,2,2,2,1,True,False,20,1,0,0,,,"(2, 9)",0
2,3,1,2,1,False,True,20,2,0,0,,,"(4, 1)",0
3,3,1,2,1,False,True,20,1,0,0,,,"(9, 0)",0
4,3,2,3,2,True,False,20,2,0,0,,,"(6, 2)",0
5,1,1,2,1,True,False,20,1,0,0,,,"(1, 0)",0
6,2,2,3,1,True,False,20,1,0,0,,,"(9, 5)",0
7,3,1,1,1,True,False,20,4,0,0,,,"(0, 2)",0
8,1,1,2,3,True,False,20,0,0,0,,,"(0, 8)",0
9,3,3,1,2,True,False,20,3,0,0,,,"(0, 3)",0
10,1,3,1,2,True,False,20,2,0,0,,,"(3, 9)",0
11,3,0,0,0,True,False,17,1,0,0,2,7,"(3, 9)",0
12,3,0,0,0,False,True,16,2,0,0,3,9,"(5, 6)",0
13,3,0,0,0,False,True,16,0,0,0,7,4,"(4, 5)",0
14,1,0,1,0,False,True,15,2,0,0,6,5,"(5, 6)",0
15,3,1,0,1,True,False,12,0,0,0,9,4,"(7, 1)",0
16,1,0,0,0,True,False,12,2,0,0,14,12,"(3, 3)",0
17,1,0,0,0,False,True,11,1,0,0,12,14,"(4, 0)",0
18,1,0,0,0,True,False,7,0,0,0,10,16,"(1, 1)",0
19,1,1,0,0,True,False,7,0,0,0,16,10,"(0, 6)",0
20,3,0,0,0,False,True,6,0,0,0,17,7,"(5, 1)",0
21,2,0,1,0,False,True,4,0,0,0,1,2,"(5, 5)",0
22,3,0,0,0,False,True,4,1,0,0,11,9,"(0, 2)",0
23,3,0,0,0,True,False,0,0,0,0,22,7,"(5, 0)",0
