Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,3,1,1,2,True,False,2,0,0,0,,,"(5, 4)",0
2,2,3,1,1,True,False,2,0,0,0,,,"(6, 0)",0
3,3,3,1,2,True,False,2,0,0,0,,,"(7, 8)",0
4,1,2,1,2,False,True,2,1,0,0,,,"(2, 6)",0
5,3,3,2,3,True,False,2,0,0,0,,,"(9, 5)",0
6,1,3,2,1,True,False,2,0,0,0,,,"(6, 1)",0
7,2,1,1,1,True,False,2,0,0,0,,,"(0, 7)",0
8,3,2,1,3,False,True,2,0,0,0,,,"(0, 5)",0
9,1,1,3,3,True,False,2,0,0,0,,,"(9, 0)",0
10,2,2,1,2,False,True,2,1,0,0,,,"(2, 6)",0
11,2,1,0,1,True,False,0,0,0,0,10,4,"(5, 7)",0
