Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,1,3,3,2,False,True,2,0,0,0,,,"(5, 7)",0
2,2,3,1,3,True,False,2,0,0,0,,,"(9, 0)",0
3,3,1,1,3,True,False,2,0,0,0,,,"(8, 4)",0
4,3,3,3,3,False,True,2,0,0,0,,,"(9, 0)",0
5,2,3,3,1,True,False,2,1,0,0,,,"(0, 1)",0
6,2,3,2,3,False,True,2,1,0,0,,,"(0, 1)",0
7,1,2,2,3,True,False,2,0,0,0,,,"(2, 7)",0
8,1,2,2,3,True,False,2,0,0,0,,,"(4, 6)",0
9,1,3,1,2,True,False,2,0,0,0,,,"(6, 9)",0
10,3,2,3,3,True,False,2,1,0,0,,,"(5, 2)",0
11,2,1,1,1,False,True,1,1,0,0,6,5,"(5, 2)",0
12,2,0,0,0,True,False,0,0,0,0,11,10,"(8, 8)",0
