Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,2,1,1,3,False,True,20,1,0,0,,,"(7, 1)",0
2,3,3,3,3,True,False,20,4,0,0,,,"(6, 3)",0
3,1,3,2,1,False,True,20,0,0,0,,,"(3, 3)",0
4,3,1,3,1,True,False,20,2,0,0,,,"(5, 4)",0
5,3,2,1,3,False,True,20,3,0,0,,,"(4, 0)",0
6,2,3,2,3,True,False,20,1,0,0,,,"(6, 0)",0
7,1,3,2,3,True,False,20,2,0,0,,,"(0, 9)",0
8,2,3,1,1,True,False,20,2,0,0,,,"(3, 6)",0
9,1,1,3,1,False,True,20,2,0,0,,,"(4, 0)",0
10,2,1,1,3,False,True,20,1,0,0,,,"(3, 1)",0
11,2,1,0,1,True,False,19,3,0,0,6,8,"(2, 0)",0
12,2,0,0,1,True,False,19,2,0,0,10,5,"(5, 3)",0
13,3,1,1,1,True,False,18,3,0,0,1,2,"(5, 0)",0
14,1,0,1,0,True,False,18,2,0,0,4,9,"(5, 3)",0
15,1,1,0,0,True,False,17,2,0,0,8,7,"(0, 0)",0
16,2,0,0,0,False,True,17,0,0,0,12,14,"(9, 8)",0
17,2,0,0,0,False,True,16,0,0,0,11,12,"(4, 8)",0
18,1,0,0,0,False,True,16,1,0,0,14,11,"(1, 2)",0
19,3,1,1,1,False,True,12,0,0,0,7,2,"(9, 9)",0
20,3,0,0,0,True,False,11,1,0,0,13,5,"(7, 2)",0
21,2,0,0,0,True,False,11,1,0,0,15,11,"(0, 3)",0
22,2,0,0,1,True,False,10,0,0,0,21,2,"(4, 3)",0
23,1,0,0,0,True,False,8,0,0,0,18,15,"(3, 8)",0
24,3,1,1,1,True,False,0,0,0,0,2,4,"(2, 1)",0
25,3,0,0,0,True,False,0,1,0,0,5,13,"(7, 2)",0
26,1,0,1,0,False,True,0,0,0,0,9,13,"(5, 1)",0
27,3,0,0,0,True,False,0,0,0,0,20,25,"(1, 3)",0
