Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,2,1,2,2,True,False,2,0,0,0,,,"(5, 5)",0
2,3,2,2,3,True,False,2,0,0,0,,,"(4, 1)",0
3,3,2,3,1,False,True,2,0,0,0,,,"(9, 8)",0
4,1,3,3,2,False,True,2,0,0,0,,,"(5, 2)",0
5,2,2,3,1,True,False,2,1,0,0,,,"(1, 9)",0
6,2,3,3,3,True,False,2,1,0,0,,,"(1, 9)",0
7,2,1,3,2,True,False,2,0,0,0,,,"(4, 7)",0
8,3,2,2,3,True,False,2,0,0,0,,,"(7, 0)",0
9,3,1,3,2,False,True,2,0,0,0,,,"(6, 3)",0
10,3,1,3,3,False,True,2,0,0,0,,,"(4, 0)",0
11,2,1,1,0,False,True,0,0,0,0,6,5,"(2, 5)",0
